1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8
0.874,0.921,0.896,0.878,0.901,0.806,0.914,0.988,1.749,1.802,1.730,1.723,1.687,1.676,1.609,1.476,4.993,4.886,5.085,4.924,4.931,4.855,4.777,5.051
0.878,0.810,1.033,1.001,0.928,0.872,0.872,0.828,1.625,1.585,1.611,1.542,1.654,1.671,1.580,1.512,4.860,4.779,4.771,4.796,4.748,5.000,4.957,5.060
0.941,0.988,0.886,0.919,0.862,1.338,1.694,1.176,1.748,1.670,1.678,1.636,1.622,1.737,1.606,1.493,4.850,5.018,4.863,4.729,4.837,4.812,4.762,4.732
1.035,1.305,0.741,0.798,0.843,0.814,0.904,0.931,1.736,1.619,1.590,1.704,1.606,1.619,1.592,1.567,4.844,4.842,4.694,4.759,4.800,4.839,4.900,4.947
0.778,0.769,0.765,0.872,0.793,1.273,0.746,0.957,1.741,1.565,1.526,1.550,1.764,1.647,1.578,1.720,4.956,4.982,4.884,4.862,4.827,4.839,4.852,4.783
0.864,0.877,0.894,1.240,0.871,0.762,0.899,0.895,1.607,1.565,1.501,1.545,1.575,1.558,1.573,1.603,4.918,4.780,4.723,4.797,4.779,4.759,4.755,4.825
0.891,0.833,0.860,0.789,0.952,0.870,0.863,0.855,1.615,1.545,1.506,1.717,1.633,1.518,1.610,1.536,5.110,4.918,4.910,4.718,4.791,4.676,4.756,4.872
0.904,0.797,0.893,0.822,0.794,0.774,0.931,1.082,1.722,1.535,1.523,1.516,1.752,1.627,1.608,1.619,4.768,4.886,5.023,4.847,4.956,5.082,5.079,4.709
0.963,0.780,0.792,0.891,0.833,0.732,0.789,0.862,1.552,1.564,1.568,1.592,1.617,1.628,1.516,1.540,4.970,4.775,4.695,4.906,4.872,5.016,4.772,4.783
0.891,0.771,0.815,0.744,0.849,0.822,0.834,0.921,1.674,1.506,1.678,1.556,1.575,1.559,1.532,1.630,4.770,4.670,5.014,4.870,4.742,4.722,4.809,4.680
0.989,0.929,0.835,0.901,0.850,0.809,1.257,0.839,1.543,1.572,1.642,1.597,1.625,1.624,1.667,1.541,4.799,5.301,4.752,4.872,4.728,4.686,4.752,4.733
0.841,1.422,0.833,0.828,0.946,0.880,0.883,0.943,1.537,1.600,1.614,1.547,1.518,1.616,1.712,1.570,4.814,4.774,4.879,5.025,4.752,4.929,4.822,4.680
0.898,1.161,0.841,0.925,0.809,0.901,0.797,0.816,1.636,1.622,1.675,1.659,1.583,1.622,1.665,1.628,4.755,5.079,4.932,4.742,4.691,4.753,4.713,4.869
0.845,0.926,0.785,0.900,0.942,0.809,0.799,0.905,1.519,1.722,1.666,1.545,1.590,1.733,1.585,1.613,4.779,4.715,4.988,4.812,4.692,4.683,4.803,4.759
0.860,0.920,0.832,0.938,0.754,0.967,0.918,0.946,1.561,1.482,1.538,1.495,1.560,1.512,1.580,1.541,4.936,4.731,4.767,5.157,5.155,5.240,4.779,5.385
0.961,0.872,0.929,0.932,0.833,0.811,0.782,0.786,1.525,1.526,1.508,1.546,1.548,1.607,1.591,1.489,5.022,5.003,4.961,4.780,5.509,5.004,4.971,4.845
1.048,0.774,0.828,0.898,0.794,0.907,0.843,0.934,1.589,1.553,1.628,1.614,1.547,1.733,1.619,1.533,5.046,4.897,4.771,4.975,4.702,4.922,5.144,5.090
0.888,0.872,0.819,0.884,0.766,0.861,0.796,1.350,1.583,1.619,1.561,1.637,1.630,1.632,1.620,1.570,5.163,4.946,5.011,5.110,4.981,5.033,4.993,5.122
0.760,0.883,0.766,0.839,0.789,0.796,0.773,0.749,1.581,1.552,1.633,1.616,1.772,1.507,1.552,1.512,4.943,4.921,4.888,4.712,4.693,4.772,4.698,5.152
0.784,0.771,0.855,0.895,0.836,0.861,0.818,0.926,1.660,1.510,1.562,1.606,1.511,1.594,1.711,1.525,4.980,5.079,5.026,4.964,4.839,4.685,4.667,4.820
0.783,0.861,0.890,0.881,0.832,0.967,0.974,0.919,1.651,1.576,1.608,1.605,1.552,1.555,1.624,1.680,5.208,4.766,4.997,4.975,4.981,4.938,4.801,4.819
0.823,0.798,0.850,0.808,0.928,0.967,0.952,0.941,2.081,1.980,1.506,1.573,1.647,1.650,1.588,1.625,4.874,4.969,4.879,4.795,5.052,4.970,4.844,4.872
0.929,0.829,0.978,0.869,0.862,1.464,0.746,0.938,1.669,1.699,1.556,1.582,1.537,1.638,1.620,1.534,4.888,4.815,4.713,4.909,4.801,4.880,4.811,4.923
0.902,0.882,1.132,0.868,0.836,0.937,0.835,0.826,1.530,1.600,1.594,1.686,1.626,1.639,1.638,1.567,4.879,4.943,4.970,5.221,4.743,4.735,4.854,4.848
0.835,0.796,0.767,0.881,0.819,0.912,0.890,0.904,1.629,1.603,1.669,1.665,1.586,1.612,1.608,1.558,4.960,4.989,4.997,4.794,4.898,4.927,4.859,4.946
0.887,0.889,0.803,0.855,0.793,0.864,0.898,0.827,1.552,1.529,1.582,1.634,1.560,1.560,1.679,1.553,4.882,4.876,4.918,4.838,4.761,5.286,4.860,4.726
0.885,0.964,0.829,0.893,1.009,0.761,0.877,0.871,1.600,1.649,1.697,1.629,1.679,1.654,1.701,1.596,4.893,4.818,5.177,5.334,4.938,4.981,4.835,4.799
0.916,0.876,0.850,0.799,0.783,0.863,0.896,0.776,1.683,1.529,1.653,1.528,1.672,1.704,1.582,1.626,4.963,4.863,4.886,4.939,5.016,5.043,5.057,4.899
